INSERT INTO performances VALUES ('PF000001', '2022-08-20', '10:00', 'GP007', 'SC001');
INSERT INTO performances VALUES ('PF000162', '2023-08-20', '18:00', 'GP008', 'SC004');
INSERT INTO performances VALUES ('PF000163', '2023-08-20', '18:00', 'GP003', 'SC004');
INSERT INTO performances VALUES ('PF000164', '2023-08-21', '10:00', 'GP005', 'SC005');
INSERT INTO performances VALUES ('PF000165', '2023-08-21', '10:00', 'GP001', 'SC006');
INSERT INTO performances VALUES ('PF000166', '2023-08-21', '10:00', 'GP004', 'SC007');
INSERT INTO performances VALUES ('PF000167', '2023-08-21', '10:00', 'GP007', 'SC008');
INSERT INTO performances VALUES ('PF000168', '2023-08-21', '10:00', 'GP002', 'SC009');
INSERT INTO performances VALUES ('PF000169', '2023-08-21', '10:00', 'GP003', 'SC010');
INSERT INTO performances VALUES ('PF000170', '2023-08-21', '10:00', 'GP007', 'SC011');
INSERT INTO performances VALUES ('PF000171', '2023-08-21', '11:00', 'GP003', 'SC005');
INSERT INTO performances VALUES ('PF000172', '2023-08-21', '11:00', 'GP005', 'SC006');
INSERT INTO performances VALUES ('PF000173', '2023-08-21', '11:00', 'GP004', 'SC007');
INSERT INTO performances VALUES ('PF000174', '2023-08-21', '11:00', 'GP005', 'SC008');
INSERT INTO performances VALUES ('PF000175', '2023-08-21', '11:00', 'GP001', 'SC009');
INSERT INTO performances VALUES ('PF000176', '2023-08-21', '11:00', 'GP004', 'SC010');
INSERT INTO performances VALUES ('PF000177', '2023-08-21', '11:00', 'GP006', 'SC011');
INSERT INTO performances VALUES ('PF000178', '2023-08-21', '12:00', 'GP005', 'SC005');
INSERT INTO performances VALUES ('PF000179', '2023-08-21', '12:00', 'GP001', 'SC006');
INSERT INTO performances VALUES ('PF000180', '2023-08-21', '12:00', 'GP006', 'SC007');
INSERT INTO performances VALUES ('PF000181', '2023-08-21', '12:00', 'GP001', 'SC008');
INSERT INTO performances VALUES ('PF000182', '2023-08-21', '12:00', 'GP007', 'SC009');
INSERT INTO performances VALUES ('PF000183', '2023-08-21', '12:00', 'GP001', 'SC010');
INSERT INTO performances VALUES ('PF000184', '2023-08-21', '12:00', 'GP003', 'SC011');
INSERT INTO performances VALUES ('PF000185', '2023-08-21', '15:00', 'GP004', 'SC005');
INSERT INTO performances VALUES ('PF000186', '2023-08-21', '15:00', 'GP003', 'SC006');
INSERT INTO performances VALUES ('PF000187', '2023-08-21', '15:00', 'GP005', 'SC007');
INSERT INTO performances VALUES ('PF000188', '2023-08-21', '15:00', 'GP004', 'SC008');
INSERT INTO performances VALUES ('PF000189', '2023-08-21', '15:00', 'GP006', 'SC009');
INSERT INTO performances VALUES ('PF000190', '2023-08-21', '15:00', 'GP006', 'SC010');
INSERT INTO performances VALUES ('PF000191', '2023-08-21', '15:00', 'GP004', 'SC011');
INSERT INTO performances VALUES ('PF000192', '2023-08-21', '16:00', 'GP001', 'SC005');
INSERT INTO performances VALUES ('PF000193', '2023-08-21', '16:00', 'GP001', 'SC006');
INSERT INTO performances VALUES ('PF000194', '2023-08-21', '16:00', 'GP005', 'SC007');
INSERT INTO performances VALUES ('PF000195', '2023-08-21', '16:00', 'GP001', 'SC008');
INSERT INTO performances VALUES ('PF000196', '2023-08-21', '16:00', 'GP002', 'SC009');
INSERT INTO performances VALUES ('PF000197', '2023-08-21', '16:00', 'GP001', 'SC010');
INSERT INTO performances VALUES ('PF000198', '2023-08-21', '16:00', 'GP004', 'SC011');
INSERT INTO performances VALUES ('PF000199', '2023-08-21', '17:00', 'GP005', 'SC005');
INSERT INTO performances VALUES ('PF000200', '2023-08-21', '17:00', 'GP008', 'SC006');
INSERT INTO performances VALUES ('PF000201', '2023-08-21', '17:00', 'GP006', 'SC007');
INSERT INTO performances VALUES ('PF000202', '2023-08-21', '17:00', 'GP002', 'SC008');
INSERT INTO performances VALUES ('PF000203', '2023-08-21', '17:00', 'GP003', 'SC009');
INSERT INTO performances VALUES ('PF000204', '2023-08-21', '17:00', 'GP005', 'SC010');
INSERT INTO performances VALUES ('PF000205', '2023-08-21', '17:00', 'GP008', 'SC011');
INSERT INTO performances VALUES ('PF000206', '2023-08-21', '18:00', 'GP001', 'SC005');
INSERT INTO performances VALUES ('PF000207', '2023-08-21', '18:00', 'GP001', 'SC006');
INSERT INTO performances VALUES ('PF000208', '2023-08-21', '18:00', 'GP007', 'SC007');
INSERT INTO performances VALUES ('PF000209', '2023-08-21', '18:00', 'GP006', 'SC008');
INSERT INTO performances VALUES ('PF000210', '2023-08-21', '18:00', 'GP007', 'SC009');
INSERT INTO performances VALUES ('PF000211', '2023-08-21', '18:00', 'GP008', 'SC010');
INSERT INTO performances VALUES ('PF000212', '2023-08-21', '18:00', 'GP008', 'SC011');
INSERT INTO performances VALUES ('PF000213', '2024-08-20', '10:00', 'GP008', 'SC001');
INSERT INTO performances VALUES ('PF000214', '2024-08-20', '10:00', 'GP002', 'SC001');
INSERT INTO performances VALUES ('PF000215', '2024-08-20', '10:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000216', '2024-08-20', '10:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000217', '2024-08-20', '10:00', 'GP008', 'SC002');
INSERT INTO performances VALUES ('PF000218', '2024-08-20', '10:00', 'GP004', 'SC002');
INSERT INTO performances VALUES ('PF000219', '2024-08-20', '10:00', 'GP005', 'SC003');
INSERT INTO performances VALUES ('PF000220', '2024-08-20', '10:00', 'GP003', 'SC003');
INSERT INTO performances VALUES ('PF000221', '2024-08-20', '10:00', 'GP007', 'SC003');
INSERT INTO performances VALUES ('PF000222', '2024-08-20', '10:00', 'GP001', 'SC004');
INSERT INTO performances VALUES ('PF000223', '2024-08-20', '11:00', 'GP008', 'SC001');
INSERT INTO performances VALUES ('PF000224', '2024-08-20', '11:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000225', '2024-08-20', '11:00', 'GP008', 'SC002');
INSERT INTO performances VALUES ('PF000226', '2024-08-20', '11:00', 'GP008', 'SC003');
INSERT INTO performances VALUES ('PF000227', '2024-08-20', '11:00', 'GP003', 'SC004');
INSERT INTO performances VALUES ('PF000228', '2024-08-20', '11:00', 'GP004', 'SC004');
INSERT INTO performances VALUES ('PF000229', '2024-08-20', '12:00', 'GP001', 'SC001');
INSERT INTO performances VALUES ('PF000230', '2024-08-20', '12:00', 'GP006', 'SC001');
INSERT INTO performances VALUES ('PF000231', '2024-08-20', '12:00', 'GP006', 'SC002');
INSERT INTO performances VALUES ('PF000232', '2024-08-20', '12:00', 'GP005', 'SC003');
INSERT INTO performances VALUES ('PF000233', '2024-08-20', '12:00', 'GP001', 'SC004');
INSERT INTO performances VALUES ('PF000234', '2024-08-20', '12:00', 'GP003', 'SC004');
INSERT INTO performances VALUES ('PF000235', '2024-08-20', '12:00', 'GP004', 'SC004');
INSERT INTO performances VALUES ('PF000236', '2024-08-20', '15:00', 'GP006', 'SC001');
INSERT INTO performances VALUES ('PF000237', '2024-08-20', '15:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000238', '2024-08-20', '15:00', 'GP008', 'SC002');
INSERT INTO performances VALUES ('PF000239', '2024-08-20', '15:00', 'GP004', 'SC003');
INSERT INTO performances VALUES ('PF000240', '2024-08-20', '15:00', 'GP002', 'SC004');
INSERT INTO performances VALUES ('PF000241', '2024-08-20', '15:00', 'GP003', 'SC004');
INSERT INTO performances VALUES ('PF000242', '2024-08-20', '15:00', 'GP001', 'SC004');
INSERT INTO performances VALUES ('PF000243', '2024-08-20', '16:00', 'GP002', 'SC001');
INSERT INTO performances VALUES ('PF000244', '2024-08-20', '16:00', 'GP008', 'SC001');
INSERT INTO performances VALUES ('PF000245', '2024-08-20', '16:00', 'GP006', 'SC001');
INSERT INTO performances VALUES ('PF000246', '2024-08-20', '16:00', 'GP007', 'SC002');
INSERT INTO performances VALUES ('PF000247', '2024-08-20', '16:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000248', '2024-08-20', '16:00', 'GP004', 'SC003');
INSERT INTO performances VALUES ('PF000249', '2024-08-20', '16:00', 'GP001', 'SC003');
INSERT INTO performances VALUES ('PF000250', '2024-08-20', '16:00', 'GP003', 'SC004');
INSERT INTO performances VALUES ('PF000251', '2024-08-20', '16:00', 'GP007', 'SC004');
INSERT INTO performances VALUES ('PF000252', '2024-08-20', '16:00', 'GP005', 'SC004');
INSERT INTO performances VALUES ('PF000253', '2024-08-20', '17:00', 'GP006', 'SC001');
INSERT INTO performances VALUES ('PF000254', '2024-08-20', '17:00', 'GP003', 'SC001');
INSERT INTO performances VALUES ('PF000255', '2024-08-20', '17:00', 'GP007', 'SC001');
INSERT INTO performances VALUES ('PF000256', '2024-08-20', '17:00', 'GP007', 'SC002');
INSERT INTO performances VALUES ('PF000257', '2024-08-20', '17:00', 'GP005', 'SC002');
INSERT INTO performances VALUES ('PF000258', '2024-08-20', '17:00', 'GP002', 'SC003');
INSERT INTO performances VALUES ('PF000259', '2024-08-20', '17:00', 'GP008', 'SC003');
INSERT INTO performances VALUES ('PF000260', '2024-08-20', '17:00', 'GP004', 'SC004');
INSERT INTO performances VALUES ('PF000261', '2024-08-20', '17:00', 'GP005', 'SC004');
INSERT INTO performances VALUES ('PF000262', '2024-08-20', '18:00', 'GP004', 'SC001');
INSERT INTO performances VALUES ('PF000263', '2024-08-20', '18:00', 'GP004', 'SC002');
INSERT INTO performances VALUES ('PF000264', '2024-08-20', '18:00', 'GP002', 'SC002');
INSERT INTO performances VALUES ('PF000265', '2024-08-20', '18:00', 'GP006', 'SC002');
INSERT INTO performances VALUES ('PF000266', '2024-08-20', '18:00', 'GP007', 'SC003');
INSERT INTO performances VALUES ('PF000267', '2024-08-20', '18:00', 'GP002', 'SC003');
INSERT INTO performances VALUES ('PF000268', '2024-08-20', '18:00', 'GP003', 'SC004');
INSERT INTO performances VALUES ('PF000269', '2024-08-20', '18:00', 'GP006', 'SC004');
INSERT INTO performances VALUES ('PF000270', '2024-08-20', '18:00', 'GP008', 'SC004');
INSERT INTO performances VALUES ('PF000271', '2024-08-21', '10:00', 'GP001', 'SC005');
INSERT INTO performances VALUES ('PF000272', '2024-08-21', '10:00', 'GP008', 'SC006');
INSERT INTO performances VALUES ('PF000273', '2024-08-21', '10:00', 'GP003', 'SC007');
INSERT INTO performances VALUES ('PF000274', '2024-08-21', '10:00', 'GP001', 'SC008');
INSERT INTO performances VALUES ('PF000275', '2024-08-21', '10:00', 'GP007', 'SC009');
INSERT INTO performances VALUES ('PF000276', '2024-08-21', '10:00', 'GP008', 'SC010');
INSERT INTO performances VALUES ('PF000277', '2024-08-21', '10:00', 'GP002', 'SC011');
INSERT INTO performances VALUES ('PF000278', '2024-08-21', '11:00', 'GP005', 'SC005');
INSERT INTO performances VALUES ('PF000279', '2024-08-21', '11:00', 'GP001', 'SC006');
INSERT INTO performances VALUES ('PF000280', '2024-08-21', '11:00', 'GP002', 'SC007');
INSERT INTO performances VALUES ('PF000281', '2024-08-21', '11:00', 'GP002', 'SC008');
INSERT INTO performances VALUES ('PF000282', '2024-08-21', '11:00', 'GP005', 'SC009');
INSERT INTO performances VALUES ('PF000283', '2024-08-21', '11:00', 'GP006', 'SC010');
INSERT INTO performances VALUES ('PF000284', '2024-08-21', '11:00', 'GP001', 'SC011');
INSERT INTO performances VALUES ('PF000285', '2024-08-21', '12:00', 'GP003', 'SC005');
INSERT INTO performances VALUES ('PF000286', '2024-08-21', '12:00', 'GP005', 'SC006');
INSERT INTO performances VALUES ('PF000287', '2024-08-21', '12:00', 'GP002', 'SC007');
INSERT INTO performances VALUES ('PF000288', '2024-08-21', '12:00', 'GP001', 'SC008');
INSERT INTO performances VALUES ('PF000289', '2024-08-21', '12:00', 'GP007', 'SC009');
INSERT INTO performances VALUES ('PF000290', '2024-08-21', '12:00', 'GP002', 'SC010');
INSERT INTO performances VALUES ('PF000291', '2024-08-21', '12:00', 'GP001', 'SC011');
INSERT INTO performances VALUES ('PF000292', '2024-08-21', '15:00', 'GP006', 'SC005');
INSERT INTO performances VALUES ('PF000293', '2024-08-21', '15:00', 'GP001', 'SC006');
INSERT INTO performances VALUES ('PF000294', '2024-08-21', '15:00', 'GP004', 'SC007');
INSERT INTO performances VALUES ('PF000295', '2024-08-21', '15:00', 'GP004', 'SC008');
INSERT INTO performances VALUES ('PF000296', '2024-08-21', '15:00', 'GP005', 'SC009');
INSERT INTO performances VALUES ('PF000297', '2024-08-21', '15:00', 'GP004', 'SC010');
INSERT INTO performances VALUES ('PF000298', '2024-08-21', '15:00', 'GP004', 'SC011');
INSERT INTO performances VALUES ('PF000299', '2024-08-21', '16:00', 'GP001', 'SC005');
INSERT INTO performances VALUES ('PF000300', '2024-08-21', '16:00', 'GP008', 'SC006');
INSERT INTO performances VALUES ('PF000301', '2024-08-21', '16:00', 'GP006', 'SC007');
INSERT INTO performances VALUES ('PF000302', '2024-08-21', '16:00', 'GP007', 'SC008');
INSERT INTO performances VALUES ('PF000303', '2024-08-21', '16:00', 'GP001', 'SC009');
